,0SE1-KM5J,57UY-ACHJ,7QGW-6366,8A6M-OHNV,CEMM-9AS0,LM4B-MEP8
Human - Security,2,2,4,1,2.0,2
Human - Data management,1,2,4,1,2.0,2
Human - Hardware,3,2,3,4,3.0,3
Human - Tooling,2,3,4,4,3.0,4
Human - Control software,3,3,3,3,3.0,3
Human - Application specific hazards,2,4,3,1,1.0,2
Technology - Trust,3,4,3,3,,1
Technology - Work Stress,2,3,3,1,,2
Technology - Physical workload,4,2,4,2,,3
Technology - Cognitive workload,2,2,3,2,,1
Collaborative Workspace - Access and clearance,4,4,3,2,3.0,2
Collaborative Workspace - Layout,4,3,3,1,3.0,3
Collaborative Workspace - Hazardous obstacles/ objects,3,2,2,4,3.0,3
Collaborative Workspace - Hazardous obstacles/ objects,3,1,3,4,2.0,1
Enterprise - Training,3,4,4,3,3.0,4
Enterprise - Work design,3,3,3,3,3.0,3
Enterprise - Social acceptance,4,3,3,1,2.0,2
Enterprise - Privacy,3,1,2,1,2.0,1
Enterprise - AI decision making,1,2,3,1,3.0,2
Enterprise - Safety strategy,3,2,3,1,2.0,1
Enterprise - Tech/ digitization strategy,2,2,3,1,3.0,3
External - Regulatory,1,2,4,1,2.0,3
External - Environmental conditions,2,3,3,2,2.0,1
