,0SE1-KM5J,57UY-ACHJ,7QGW-6366,8A6M-OHNV,CEMM-9AS0,LM4B-MEP8,0SE1-KM5J,57UY-ACHJ,7QGW-6366,8A6M-OHNV,CEMM-9AS0,LM4B-MEP8,0SE1-KM5J,57UY-ACHJ,7QGW-6366,8A6M-OHNV,CEMM-9AS0,LM4B-MEP8,0SE1-KM5J,57UY-ACHJ,7QGW-6366,8A6M-OHNV,CEMM-9AS0,LM4B-MEP8
0,0.5,2.0,2.0,1.0,1.0,0.5,0.3333,2.0,2.0,1.0,1.0,0.5,0.2,2.0,2.0,1.0,1.0,0.3333,0.1111,2.0,2.0,1.0,1.0,0.25
1,0.5,2.0,2.0,2.0,2.0,0.5,0.5,2.0,2.0,2.0,2.0,0.5,0.3333,2.0,2.0,2.0,2.0,0.5,0.25,2.0,3.0,3.0,3.0,0.5
2,0.5,2.0,2.0,1.0,2.0,0.5,0.5,2.0,2.0,1.0,2.0,0.5,0.5,3.0,3.0,1.0,2.0,0.5,0.3333,4.0,4.0,1.0,2.0,0.5
3,0.5,2.0,2.0,2.0,1.0,0.5,0.5,2.0,2.0,2.0,1.0,0.5,0.5,2.0,2.0,2.0,1.0,0.5,0.5,3.0,3.0,3.0,1.0,0.5
4,1.0,2.0,2.0,0.5,1.0,2.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,2.0,2.0,0.5,1.0,2.0,1.0,2.0,2.0,0.5,1.0,3.0
5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0
6,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,6.0,3.0,2.0,2.0,2.0,5.0
7,1.0,2.0,0.5,1.0,2.0,2.0,1.0,2.0,0.5,1.0,2.0,2.0,1.0,2.0,0.5,1.0,2.0,2.0,1.0,2.0,0.5,1.0,2.0,2.0
8,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0
9,2.0,0.5,2.0,2.0,1.0,2.0,2.0,0.5,2.0,2.0,1.0,2.0,3.0,0.5,2.0,2.0,1.0,2.0,4.0,0.5,2.0,3.0,1.0,2.0
0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,4.0,1.0,1.0,2.0
1,2.0,0.5,2.0,2.0,0.5,0.5,2.0,0.5,2.0,2.0,0.5,0.5,2.0,0.5,3.0,2.0,0.5,0.5,2.0,0.5,5.0,2.0,0.5,0.3333
2,2.0,0.5,2.0,2.0,1.0,0.5,2.0,0.5,3.0,2.0,1.0,0.3333,3.0,0.5,4.0,2.0,1.0,0.25,4.0,0.5,6.0,2.0,1.0,0.1667
3,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,2.0,0.3333,1.0,1.0
4,1.0,0.5,2.0,0.5,2.0,2.0,1.0,0.5,2.0,0.5,2.0,2.0,1.0,0.5,2.0,0.3333,2.0,2.0,1.0,0.5,3.0,0.25,2.0,2.0
5,2.0,0.5,2.0,0.5,0.5,2.0,2.0,0.5,2.0,0.5,0.5,2.0,3.0,0.3333,2.0,0.5,0.5,2.0,4.0,0.25,3.0,0.5,0.5,2.0
