,0SE1-KM5J,57UY-ACHJ,7QGW-6366,8A6M-OHNV,CEMM-9AS0,LM4B-MEP8
Human,0.048048478355323304,0.37458101670625393,0.4022357448726617,0.28490259740259744,0.27736369910282954,0.0829776098218721
Technology,0.45038571833149277,0.2533538567694166,0.2228825783186838,0.220021645021645,0.26149068322981367,0.47541693279398195
Collaborative Workspace,0.21225302036440893,0.15244887939385093,0.12583784088347985,0.21996753246753248,0.20448585231193928,0.1936093960684125
Enterprise,0.1851562468283036,0.08776290123538702,0.1549707009240478,0.1963311688311688,0.11093857832988267,0.14223085657511886
External,0.10415653612047138,0.13185334589509162,0.09407313500112688,0.07877705627705628,0.14572118702553483,0.10576520474061457
Human - Security,0.19715063589818993,0.11950716940214462,0.3770535714423256,0.12227631827695007,0.15263356293579397,0.12019844799624572
Human - Data management,0.30346501630225364,0.048188663035881346,0.148474439439877,0.06778104612216415,0.11664671611858364,0.07960029447157439
Human - Hardware,0.054196696239553144,0.16606814346540047,0.08815565691211465,0.1528402342242919,0.2719337925382546,0.1169939168872949
Human - Tooling,0.07599925084300331,0.32095326546847774,0.04789564052065898,0.07804295747987619,0.15209077833044535,0.39300370726067785
Human - Control software,0.12458476326303776,0.11225472209879785,0.25524851159651335,0.28635300572317446,0.2071099186874998,0.13244373209069987
Human - Application specific hazards,0.2446036374539621,0.23302803652929802,0.08317218008851034,0.29270643817354325,0.0995852313894226,0.1577599012935072
Technology - Trust,0.14770893228671228,0.16793724034675658,0.6004725085910653,0.3997564935064935,0.3958333333333333,0.09994538199262062
Technology - Work Stress,0.2846631457532818,0.3125838575886989,0.17368986254295532,0.23741883116883117,0.3611111111111111,0.21712734400638015
Technology - Physical workload,0.34716783337047225,0.4066107154451476,0.08821950171821305,0.15219155844155843,0.11259920634920635,0.5684846242928993
Technology - Cognitive workload,0.22046008858953373,0.11286818661939695,0.13761812714776633,0.21063311688311687,0.1304563492063492,0.1144426497081
Collaborative Workspace - Access and clearance,0.11747227364281555,0.4003941030506495,0.42539682539682544,0.2458333333333333,0.24464285714285716,0.19813311688311688
Collaborative Workspace - Layout,0.29024065248883185,0.3369325645891111,0.1492063492063492,0.3458333333333333,0.31607142857142856,0.3873376623376623
Collaborative Workspace - Hazardous obstacles/ objects,0.17689679165935038,0.16483725003649102,0.23055555555555557,0.20416666666666666,0.28035714285714286,0.2748376623376624
Collaborative Workspace - Hazardous obstacles/ objects,0.4153902822090022,0.09783608232374835,0.19484126984126982,0.20416666666666666,0.15892857142857142,0.13969155844155845
Enterprise - Training,0.15416778478335008,0.2932036406813342,0.3253446875298028,0.13579877288147452,0.16020993131095557,0.30746062749533504
Enterprise - Work design,0.1330559353611546,0.22394469764858424,0.12033416373846571,0.2362792237646565,0.19413909873955884,0.15793184611572827
Enterprise - Social acceptance,0.03515013577880354,0.10705050939406786,0.1666642170312632,0.03635077685174608,0.06256197016105296,0.06054254928091608
Enterprise - Privacy,0.24715550044785692,0.04472374631390164,0.03913707291350709,0.28746732647043605,0.0631602016122435,0.07413402493142625
Enterprise - AI decision making,0.03463186024526406,0.10296595838325728,0.11269822954214861,0.043120401001184305,0.15842360762091778,0.14643935318299173
Enterprise - Safety strategy,0.3080748156525056,0.14811252216263046,0.1702247126270058,0.17903206986008321,0.1673548577820602,0.16761335773528185
Enterprise - Tech/ digitization strategy,0.08776396773106522,0.07999892541622432,0.06559691661780682,0.08195142917041931,0.19415033277321106,0.08587824125832075
External - Regulatory,0.5,0.3333333333333333,0.75,0.5,0.5,0.6666666666666666
External - Environmental conditions,0.5,0.6666666666666666,0.25,0.5,0.5,0.3333333333333333
