,0SE1-KM5J,57UY-ACHJ,7QGW-6366,8A6M-OHNV,CEMM-9AS0,LM4B-MEP8
Human,0.048048478355323304,0.37458101670625393,0.4022357448726617,0.28490259740259744,0.27736369910282954,0.0829776098218721
Technology,0.45038571833149277,0.2533538567694166,0.2228825783186838,0.220021645021645,0.26149068322981367,0.47541693279398195
Collaborative Workspace,0.21225302036440893,0.15244887939385093,0.12583784088347985,0.21996753246753248,0.20448585231193928,0.1936093960684125
Enterprise,0.1851562468283036,0.08776290123538702,0.1549707009240478,0.1963311688311688,0.11093857832988267,0.14223085657511886
External,0.10415653612047138,0.13185334589509162,0.09407313500112688,0.07877705627705628,0.14572118702553483,0.10576520474061457
Human - Security,0.009472788061692404,0.044765117018341856,0.1516644241660012,0.03483684067792977,0.04233500962311636,0.009973779919027063
Human - Data management,0.014581032267396668,0.01805055839369551,0.05972172674264983,0.01931099609486982,0.03235356467084801,0.0066050421763684235
Human - Hardware,0.002604068786196201,0.06220597402178975,0.03545935632278324,0.04354457971812213,0.07542456260947172,0.00970787558700649
Human - Tooling,0.003651648359150831,0.12022300049437462,0.019265338640980505,0.022234641294997196,0.04218446087716079,0.03261050827962577
Human - Control software,0.005986108301047148,0.04204848793384569,0.10267007518966179,0.08158271510457325,0.05744477316805119,0.010989864324774655
Human - Application specific hazards,0.011752832579840047,0.08728787884420654,0.03345482381058512,0.08339282451210527,0.027621328154181467,0.013090539535069697
Technology - Trust,0.06652599357192873,0.04254754753706325,0.13383486092426464,0.08795508130938325,0.10350672877846791,0.04751572695385457
Technology - Work Stress,0.12820821538259425,0.07919432588395893,0.03871244439139166,0.05223728179288244,0.0944271911663216,0.10322601591321703
Technology - Physical workload,0.15635943401414812,0.10301639296179993,0.01966259000094488,0.03348543704671951,0.029443643399388743,0.27026721642186935
Technology - Cognitive workload,0.09929207536282168,0.028595590386594476,0.030672683002082615,0.0463438448726598,0.03411311988563541,0.054407973505041
Collaborative Workspace - Access and clearance,0.02493384488976195,0.06103963232597759,0.05353101802662318,0.054075351731601724,0.050026003154885146,0.03836043310089244
Collaborative Workspace - Layout,0.061604455123291366,0.05136499190290628,0.0187758048302335,0.07607210497835498,0.06463213546288081,0.07499221087974549
Collaborative Workspace - Hazardous obstacles/ objects,0.0375468783224707,0.02512925405042707,0.029012613314802302,0.04491003787878788,0.05732906930888298,0.05321115382204909
Collaborative Workspace - Hazardous obstacles/ objects,0.08816784202888492,0.014915001114539984,0.024518404711820874,0.04491003787878788,0.03249864438529035,0.02704559826572548
Enterprise - Training,0.028545128412318755,0.025732402158971837,0.05041889426840885,0.02666153180565832,0.017773462013965565,0.043730388411785046
Enterprise - Work design,0.024636137609700747,0.019654036381921307,0.018648269699659166,0.046388976172236286,0.021537515612411375,0.02246278175352989
Enterprise - Social acceptance,0.0065082672163085335,0.009395063283149449,0.025828070532292483,0.007136790507224302,0.006940536027183756,0.00861101864346604
Enterprise - Privacy,0.045762384845896294,0.003925085730623454,0.006065099621521759,0.0564387962067119,0.007006902973891058,0.010544145867357973
Enterprise - AI decision making,0.006412305263695427,0.00903659123619678,0.017464923625046,0.008465878729031215,0.017575289803355786,0.020828194639523272
Enterprise - Safety strategy,0.057041976608539456,0.012998784654283009,0.0263798430304017,0.035149575533893605,0.018566109998941458,0.02383979144412096
Enterprise - Tech/ digitization strategy,0.016250046871844382,0.007020937790241187,0.010165600146717843,0.016089619876413164,0.021538761900133662,0.012214535815335673
External - Regulatory,0.05207826806023569,0.043951115298363874,0.07055485125084515,0.03938852813852814,0.07286059351276741,0.07051013649374305
External - Environmental conditions,0.05207826806023569,0.08790223059672775,0.02351828375028172,0.03938852813852814,0.07286059351276741,0.035255068246871524
